dataset_day,gap_id,gap_type,start_window_id,end_window_id,global_start_position,global_end_position,window_count,previous_attack_category,next_attack_category,start_time,end_time
Thursday,Thursday_GAP_024,between_attacks,20170706_2027,20170706_2027,1873,1873,1,Infiltration,Infiltration,2017-07-06 20:27:00,2017-07-06 20:27:59
Thursday,Thursday_GAP_025,between_attacks,20170706_2029,20170706_2030,1875,1876,2,Infiltration,Infiltration,2017-07-06 20:29:00,2017-07-06 20:30:59
Thursday,Thursday_GAP_026,between_attacks,20170706_2032,20170706_2032,1878,1878,1,Infiltration,Infiltration,2017-07-06 20:32:00,2017-07-06 20:32:59
Thursday,Thursday_GAP_027,between_attacks,20170706_2034,20170706_2035,1880,1881,2,Infiltration,Infiltration,2017-07-06 20:34:00,2017-07-06 20:35:59
Thursday,Thursday_GAP_028,between_attacks,20170706_2037,20170706_2038,1883,1884,2,Infiltration,Infiltration,2017-07-06 20:37:00,2017-07-06 20:38:59
Thursday,Thursday_GAP_029,between_attacks,20170706_2040,20170706_2040,1886,1886,1,Infiltration,Infiltration,2017-07-06 20:40:00,2017-07-06 20:40:59
Thursday,Thursday_GAP_030,between_attacks,20170706_2042,20170706_2043,1888,1889,2,Infiltration,Infiltration,2017-07-06 20:42:00,2017-07-06 20:43:59
Thursday,Thursday_GAP_031,trailing,20170706_2045,20170706_2204,1891,1970,80,Infiltration,None,2017-07-06 20:45:00,2017-07-06 22:04:59
Friday,Friday_GAP_001,leading,20170707_1359,20170707_1433,1971,2005,35,None,Bot,2017-07-07 13:59:00,2017-07-07 14:33:59
Friday,Friday_GAP_002,between_attacks,20170707_1435,20170707_1503,2007,2035,29,Bot,Bot,2017-07-07 14:35:00,2017-07-07 15:03:59
Friday,Friday_GAP_003,between_attacks,20170707_1614,20170707_1614,2106,2106,1,Bot,Bot,2017-07-07 16:14:00,2017-07-07 16:14:59
Friday,Friday_GAP_004,between_attacks,20170707_1619,20170707_1619,2111,2111,1,Bot,Bot,2017-07-07 16:19:00,2017-07-07 16:19:59
Friday,Friday_GAP_005,between_attacks,20170707_1624,20170707_1624,2116,2116,1,Bot,Bot,2017-07-07 16:24:00,2017-07-07 16:24:59
Friday,Friday_GAP_006,between_attacks,20170707_1629,20170707_1629,2121,2121,1,Bot,Bot,2017-07-07 16:29:00,2017-07-07 16:29:59
Friday,Friday_GAP_007,between_attacks,20170707_1646,20170707_1646,2138,2138,1,Bot,Bot,2017-07-07 16:46:00,2017-07-07 16:46:59
Friday,Friday_GAP_008,between_attacks,20170707_1651,20170707_1651,2143,2143,1,Bot,Bot,2017-07-07 16:51:00,2017-07-07 16:51:59
Friday,Friday_GAP_009,between_attacks,20170707_1656,20170707_1656,2148,2148,1,Bot,Bot,2017-07-07 16:56:00,2017-07-07 16:56:59
Friday,Friday_GAP_010,between_attacks,20170707_1701,20170707_1701,2153,2153,1,Bot,Bot,2017-07-07 17:01:00,2017-07-07 17:01:59
Friday,Friday_GAP_011,between_attacks,20170707_1718,20170707_1718,2170,2170,1,Bot,Bot,2017-07-07 17:18:00,2017-07-07 17:18:59
Friday,Friday_GAP_012,between_attacks,20170707_1723,20170707_1723,2175,2175,1,Bot,Bot,2017-07-07 17:23:00,2017-07-07 17:23:59
Friday,Friday_GAP_013,between_attacks,20170707_1728,20170707_1728,2180,2180,1,Bot,Bot,2017-07-07 17:28:00,2017-07-07 17:28:59
Friday,Friday_GAP_014,between_attacks,20170707_1733,20170707_1733,2185,2185,1,Bot,Bot,2017-07-07 17:33:00,2017-07-07 17:33:59
Friday,Friday_GAP_015,between_attacks,20170707_1750,20170707_1750,2202,2202,1,Bot,Bot,2017-07-07 17:50:00,2017-07-07 17:50:59
Friday,Friday_GAP_016,between_attacks,20170707_1755,20170707_1755,2207,2207,1,Bot,Bot,2017-07-07 17:55:00,2017-07-07 17:55:59
Friday,Friday_GAP_017,between_attacks,20170707_1800,20170707_1804,2212,2216,5,Bot,PortScan,2017-07-07 18:00:00,2017-07-07 18:04:59
Friday,Friday_GAP_018,between_attacks,20170707_1807,20170707_1851,2219,2263,45,PortScan,PortScan,2017-07-07 18:07:00,2017-07-07 18:51:59
Friday,Friday_GAP_019,between_attacks,20170707_1853,20170707_1854,2265,2266,2,PortScan,PortScan,2017-07-07 18:53:00,2017-07-07 18:54:59
Friday,Friday_GAP_020,between_attacks,20170707_1901,20170707_1913,2273,2285,13,PortScan,PortScan,2017-07-07 19:01:00,2017-07-07 19:13:59
Friday,Friday_GAP_021,between_attacks,20170707_1917,20170707_1950,2289,2322,34,PortScan,PortScan,2017-07-07 19:17:00,2017-07-07 19:50:59
Friday,Friday_GAP_022,between_attacks,20170707_1957,20170707_2002,2329,2334,6,PortScan,PortScan,2017-07-07 19:57:00,2017-07-07 20:02:59
Friday,Friday_GAP_023,between_attacks,20170707_2004,20170707_2007,2336,2339,4,PortScan,PortScan,2017-07-07 20:04:00,2017-07-07 20:07:59
Friday,Friday_GAP_024,between_attacks,20170707_2011,20170707_2011,2343,2343,1,PortScan,PortScan,2017-07-07 20:11:00,2017-07-07 20:11:59
Friday,Friday_GAP_025,between_attacks,20170707_2014,20170707_2020,2346,2352,7,PortScan,PortScan,2017-07-07 20:14:00,2017-07-07 20:20:59
Friday,Friday_GAP_026,between_attacks,20170707_2024,20170707_2055,2356,2387,32,PortScan,DDoS,2017-07-07 20:24:00,2017-07-07 20:55:59
Friday,Friday_GAP_027,trailing,20170707_2117,20170707_2202,2409,2454,46,DDoS,None,2017-07-07 21:17:00,2017-07-07 22:02:59
