dataset_day,segment_id,attack_category,start_window_id,end_window_id,day_start_position,day_end_position,global_start_position,global_end_position,window_count,start_time,end_time
Thursday,Thursday_SEG_015,Infiltration,20170706_2007,20170706_2007,369,369,1853,1853,1,2017-07-06 20:07:00,2017-07-06 20:07:59
Thursday,Thursday_SEG_016,Infiltration,20170706_2009,20170706_2009,371,371,1855,1855,1,2017-07-06 20:09:00,2017-07-06 20:09:59
Thursday,Thursday_SEG_017,Infiltration,20170706_2012,20170706_2012,374,374,1858,1858,1,2017-07-06 20:12:00,2017-07-06 20:12:59
Thursday,Thursday_SEG_018,Infiltration,20170706_2014,20170706_2014,376,376,1860,1860,1,2017-07-06 20:14:00,2017-07-06 20:14:59
Thursday,Thursday_SEG_019,Infiltration,20170706_2016,20170706_2016,378,378,1862,1862,1,2017-07-06 20:16:00,2017-07-06 20:16:59
Thursday,Thursday_SEG_020,Infiltration,20170706_2019,20170706_2019,381,381,1865,1865,1,2017-07-06 20:19:00,2017-07-06 20:19:59
Thursday,Thursday_SEG_021,Infiltration,20170706_2021,20170706_2021,383,383,1867,1867,1,2017-07-06 20:21:00,2017-07-06 20:21:59
Thursday,Thursday_SEG_022,Infiltration,20170706_2023,20170706_2023,385,385,1869,1869,1,2017-07-06 20:23:00,2017-07-06 20:23:59
Thursday,Thursday_SEG_023,Infiltration,20170706_2026,20170706_2026,388,388,1872,1872,1,2017-07-06 20:26:00,2017-07-06 20:26:59
Thursday,Thursday_SEG_024,Infiltration,20170706_2028,20170706_2028,390,390,1874,1874,1,2017-07-06 20:28:00,2017-07-06 20:28:59
Thursday,Thursday_SEG_025,Infiltration,20170706_2031,20170706_2031,393,393,1877,1877,1,2017-07-06 20:31:00,2017-07-06 20:31:59
Thursday,Thursday_SEG_026,Infiltration,20170706_2033,20170706_2033,395,395,1879,1879,1,2017-07-06 20:33:00,2017-07-06 20:33:59
Thursday,Thursday_SEG_027,Infiltration,20170706_2036,20170706_2036,398,398,1882,1882,1,2017-07-06 20:36:00,2017-07-06 20:36:59
Thursday,Thursday_SEG_028,Infiltration,20170706_2039,20170706_2039,401,401,1885,1885,1,2017-07-06 20:39:00,2017-07-06 20:39:59
Thursday,Thursday_SEG_029,Infiltration,20170706_2041,20170706_2041,403,403,1887,1887,1,2017-07-06 20:41:00,2017-07-06 20:41:59
Thursday,Thursday_SEG_030,Infiltration,20170706_2044,20170706_2044,406,406,1890,1890,1,2017-07-06 20:44:00,2017-07-06 20:44:59
Friday,Friday_SEG_001,Bot,20170707_1434,20170707_1434,36,36,2006,2006,1,2017-07-07 14:34:00,2017-07-07 14:34:59
Friday,Friday_SEG_002,Bot,20170707_1504,20170707_1613,66,135,2036,2105,70,2017-07-07 15:04:00,2017-07-07 16:13:59
Friday,Friday_SEG_003,Bot,20170707_1615,20170707_1618,137,140,2107,2110,4,2017-07-07 16:15:00,2017-07-07 16:18:59
Friday,Friday_SEG_004,Bot,20170707_1620,20170707_1623,142,145,2112,2115,4,2017-07-07 16:20:00,2017-07-07 16:23:59
Friday,Friday_SEG_005,Bot,20170707_1625,20170707_1628,147,150,2117,2120,4,2017-07-07 16:25:00,2017-07-07 16:28:59
Friday,Friday_SEG_006,Bot,20170707_1630,20170707_1645,152,167,2122,2137,16,2017-07-07 16:30:00,2017-07-07 16:45:59
Friday,Friday_SEG_007,Bot,20170707_1647,20170707_1650,169,172,2139,2142,4,2017-07-07 16:47:00,2017-07-07 16:50:59
Friday,Friday_SEG_008,Bot,20170707_1652,20170707_1655,174,177,2144,2147,4,2017-07-07 16:52:00,2017-07-07 16:55:59
Friday,Friday_SEG_009,Bot,20170707_1657,20170707_1700,179,182,2149,2152,4,2017-07-07 16:57:00,2017-07-07 17:00:59
Friday,Friday_SEG_010,Bot,20170707_1702,20170707_1717,184,199,2154,2169,16,2017-07-07 17:02:00,2017-07-07 17:17:59
Friday,Friday_SEG_011,Bot,20170707_1719,20170707_1722,201,204,2171,2174,4,2017-07-07 17:19:00,2017-07-07 17:22:59
Friday,Friday_SEG_012,Bot,20170707_1724,20170707_1727,206,209,2176,2179,4,2017-07-07 17:24:00,2017-07-07 17:27:59
Friday,Friday_SEG_013,Bot,20170707_1729,20170707_1732,211,214,2181,2184,4,2017-07-07 17:29:00,2017-07-07 17:32:59
Friday,Friday_SEG_014,Bot,20170707_1734,20170707_1749,216,231,2186,2201,16,2017-07-07 17:34:00,2017-07-07 17:49:59
Friday,Friday_SEG_015,Bot,20170707_1751,20170707_1754,233,236,2203,2206,4,2017-07-07 17:51:00,2017-07-07 17:54:59
Friday,Friday_SEG_016,Bot,20170707_1756,20170707_1759,238,241,2208,2211,4,2017-07-07 17:56:00,2017-07-07 17:59:59
Friday,Friday_SEG_017,PortScan,20170707_1805,20170707_1806,247,248,2217,2218,2,2017-07-07 18:05:00,2017-07-07 18:06:59
Friday,Friday_SEG_018,PortScan,20170707_1852,20170707_1852,294,294,2264,2264,1,2017-07-07 18:52:00,2017-07-07 18:52:59
Friday,Friday_SEG_019,PortScan,20170707_1855,20170707_1900,297,302,2267,2272,6,2017-07-07 18:55:00,2017-07-07 19:00:59
Friday,Friday_SEG_020,PortScan,20170707_1914,20170707_1916,316,318,2286,2288,3,2017-07-07 19:14:00,2017-07-07 19:16:59
Friday,Friday_SEG_021,PortScan,20170707_1951,20170707_1956,353,358,2323,2328,6,2017-07-07 19:51:00,2017-07-07 19:56:59
Friday,Friday_SEG_022,PortScan,20170707_2003,20170707_2003,365,365,2335,2335,1,2017-07-07 20:03:00,2017-07-07 20:03:59
Friday,Friday_SEG_023,PortScan,20170707_2008,20170707_2010,370,372,2340,2342,3,2017-07-07 20:08:00,2017-07-07 20:10:59
Friday,Friday_SEG_024,PortScan,20170707_2012,20170707_2013,374,375,2344,2345,2,2017-07-07 20:12:00,2017-07-07 20:13:59
Friday,Friday_SEG_025,PortScan,20170707_2021,20170707_2023,383,385,2353,2355,3,2017-07-07 20:21:00,2017-07-07 20:23:59
Friday,Friday_SEG_026,DDoS,20170707_2056,20170707_2116,418,438,2388,2408,21,2017-07-07 20:56:00,2017-07-07 21:16:59
