global_position,window_id,dataset_day,day_position,attack_category,is_attack,split,model,segment_id,is_buffer,is_exception,allocation_reason,notes
46,20170703_1440,Monday,46,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
47,20170703_1441,Monday,47,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
48,20170703_1442,Monday,48,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
49,20170703_1443,Monday,49,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
50,20170703_1444,Monday,50,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
51,20170703_1445,Monday,51,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
52,20170703_1446,Monday,52,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
53,20170703_1447,Monday,53,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
54,20170703_1448,Monday,54,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
55,20170703_1449,Monday,55,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
56,20170703_1450,Monday,56,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
57,20170703_1451,Monday,57,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
58,20170703_1452,Monday,58,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
59,20170703_1453,Monday,59,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
60,20170703_1454,Monday,60,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
61,20170703_1455,Monday,61,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
62,20170703_1456,Monday,62,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
63,20170703_1457,Monday,63,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
64,20170703_1458,Monday,64,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
65,20170703_1459,Monday,65,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
66,20170703_1500,Monday,66,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
67,20170703_1501,Monday,67,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
68,20170703_1502,Monday,68,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
69,20170703_1503,Monday,69,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
70,20170703_1504,Monday,70,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
71,20170703_1505,Monday,71,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
72,20170703_1506,Monday,72,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
73,20170703_1507,Monday,73,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
74,20170703_1508,Monday,74,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
75,20170703_1509,Monday,75,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
76,20170703_1510,Monday,76,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
77,20170703_1511,Monday,77,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
78,20170703_1512,Monday,78,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
79,20170703_1513,Monday,79,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
80,20170703_1514,Monday,80,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
81,20170703_1515,Monday,81,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
82,20170703_1516,Monday,82,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
83,20170703_1517,Monday,83,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
84,20170703_1518,Monday,84,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
85,20170703_1519,Monday,85,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
86,20170703_1520,Monday,86,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
87,20170703_1521,Monday,87,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
88,20170703_1522,Monday,88,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
89,20170703_1523,Monday,89,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
90,20170703_1524,Monday,90,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
91,20170703_1525,Monday,91,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
92,20170703_1526,Monday,92,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
93,20170703_1527,Monday,93,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
94,20170703_1528,Monday,94,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
95,20170703_1529,Monday,95,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
96,20170703_1530,Monday,96,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
97,20170703_1531,Monday,97,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
98,20170703_1532,Monday,98,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
99,20170703_1533,Monday,99,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
100,20170703_1534,Monday,100,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
101,20170703_1535,Monday,101,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
102,20170703_1536,Monday,102,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
103,20170703_1537,Monday,103,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
104,20170703_1538,Monday,104,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
105,20170703_1539,Monday,105,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
106,20170703_1540,Monday,106,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
107,20170703_1541,Monday,107,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
108,20170703_1542,Monday,108,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
109,20170703_1543,Monday,109,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
110,20170703_1544,Monday,110,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
111,20170703_1545,Monday,111,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
112,20170703_1546,Monday,112,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
113,20170703_1547,Monday,113,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
114,20170703_1548,Monday,114,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
115,20170703_1549,Monday,115,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
116,20170703_1550,Monday,116,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
117,20170703_1551,Monday,117,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
118,20170703_1552,Monday,118,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
119,20170703_1553,Monday,119,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
120,20170703_1554,Monday,120,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
121,20170703_1555,Monday,121,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
122,20170703_1556,Monday,122,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
123,20170703_1557,Monday,123,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
124,20170703_1558,Monday,124,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
125,20170703_1559,Monday,125,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
126,20170703_1600,Monday,126,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
127,20170703_1601,Monday,127,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
128,20170703_1602,Monday,128,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
129,20170703_1603,Monday,129,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
130,20170703_1604,Monday,130,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
131,20170703_1605,Monday,131,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
132,20170703_1606,Monday,132,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
133,20170703_1607,Monday,133,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
134,20170703_1608,Monday,134,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
135,20170703_1609,Monday,135,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
136,20170703_1610,Monday,136,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
137,20170703_1611,Monday,137,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
138,20170703_1612,Monday,138,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
139,20170703_1613,Monday,139,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
140,20170703_1614,Monday,140,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
141,20170703_1615,Monday,141,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
142,20170703_1616,Monday,142,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
143,20170703_1617,Monday,143,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
144,20170703_1618,Monday,144,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
145,20170703_1619,Monday,145,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
146,20170703_1620,Monday,146,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
147,20170703_1621,Monday,147,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
148,20170703_1622,Monday,148,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
149,20170703_1623,Monday,149,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
150,20170703_1624,Monday,150,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
151,20170703_1625,Monday,151,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
152,20170703_1626,Monday,152,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
153,20170703_1627,Monday,153,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
154,20170703_1628,Monday,154,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
155,20170703_1629,Monday,155,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
156,20170703_1630,Monday,156,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
157,20170703_1631,Monday,157,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
158,20170703_1632,Monday,158,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
159,20170703_1633,Monday,159,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
160,20170703_1634,Monday,160,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
161,20170703_1635,Monday,161,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
162,20170703_1636,Monday,162,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
163,20170703_1637,Monday,163,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
164,20170703_1638,Monday,164,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
165,20170703_1639,Monday,165,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
166,20170703_1640,Monday,166,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
167,20170703_1641,Monday,167,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
